Host Id,Host Since,Name,Neighbourhood ,Property Type,Room Type,Zipcode,Beds,Review Scores Rating,Review Scores Rating (bin),Price,Number of Records,Number Of Reviews
34576246,5/30/2015,Pull Out Sofa \ bed In Living Room,Manhattan,Apartment,Shared room,10018,1,40,40,68,1,1
35137302,6/6/2015,Quiet 2 Bed w 3 Beds-Prospect Park!,Brooklyn,Apartment,Entire home/apt,11225,3,40,40,119,1,1
35987043,6/16/2015,Cozy Couple Room Close to Subway,Brooklyn,House,Private room,11219,1,40,40,65,1,1
36012803,6/17/2015,Cozy apartment in the West Village,Manhattan,Apartment,Entire home/apt,10014,2,40,40,220,1,1
36818817,6/26/2015,Best Location near Columbia U,Manhattan,Apartment,Private room,10025,1,40,40,50,1,3
38123545,7/10/2015,Just A Nice Budget Room =),Brooklyn,Apartment,Private room,11221,2,40,40,70,1,1
38769275,7/17/2015,Our guest-room at our apartment!,Manhattan,Apartment,Private room,10128,3,40,40,64,1,1
4112404,11/10/2012,Large Bedroom for 2 renovated apt,Manhattan,Apartment,Private room,10033,1,43,40,90,1,2
8144508,8/13/2013,Roomy space in quiet Harlem apt,Manhattan,Apartment,Shared room,10039,1,43,40,81,1,1
6956982,6/17/2013,UWS Cozy Studio Elevator/Laundry,Manhattan,Apartment,Entire home/apt,10024,1,47,45,135,1,3
31214760,4/14/2015,Well Known Artist Room Available,Brooklyn,Apartment,Private room,11211,1,47,45,63,1,3
32628813,5/4/2015,Private Bedroom: Close to Manhattan,Brooklyn,House,Private room,11207,1,47,45,40,1,3
11055472,1/6/2014,Midtown West Best Home Stay,Manhattan,Apartment,Entire home/apt,10019,1,49,45,169,1,2
66087,12/27/2009,just a nice place to stay 2,Brooklyn,Apartment,Entire home/apt,11209,1,50,50,99,1,2
3814458,10/9/2012,Perfect location,Manhattan,Apartment,Private room,10018,1,50,50,164,1,2
5164854,2/20/2013,Big room is available!!,Manhattan,Apartment,Private room,10030,1,50,50,60,1,2
9145760,9/30/2013,Huge Upper East Side Apt. Up to 6,Manhattan,Apartment,Private room,10128,1,50,50,135,1,6
11722310,1/28/2014,Beautiful Bright Bushwick Bedroom,Brooklyn,Apartment,Private room,11237,1,50,50,50,1,2
13161042,3/15/2014,PARK AVE ~ 2 BEDROOM/2 BATH~DOORMAN,Manhattan,Apartment,Entire home/apt,10128,6,50,50,270,1,2
14339935,4/15/2014,Sky Room,Brooklyn,Apartment,Private room,11212,1,50,50,49,1,5
18495751,7/20/2014,Quiet 2 bed in Williamsburg,Brooklyn,Apartment,Entire home/apt,11206,2,50,50,250,1,3
22370877,10/10/2014,Spacious 1 BR apt.,Brooklyn,Apartment,Entire home/apt,11225,1,50,50,105,1,2
25603684,1/4/2015,"NYC LOFT 3BR NEAR TIMES SQ,EMPIREBD",Manhattan,Apartment,Entire home/apt,10001,3,50,50,399,1,2
29241668,3/12/2015,Riverside pad near all,Manhattan,Apartment,Entire home/apt,10031,2,50,50,70,1,3
29603520,3/19/2015,Luxury City-Riverview Studio,Queens,Apartment,Entire home/apt,11101,1,50,50,225,1,2
31510812,4/19/2015,Summer in NYC,Manhattan,Apartment,Private room,10031,1,50,50,45,1,4
31526222,4/19/2015,Blissful New York,Manhattan,Apartment,Private room,10033,2,50,50,50,1,4
32287106,4/30/2015,1 min to Columbia SIPA building,Manhattan,Apartment,Private room,10027,1,50,50,40,1,3
35505692,6/10/2015,Ultra luxurious mid town west apt,Manhattan,Apartment,Entire home/apt,10019,1,50,50,220,1,2
35730524,6/13/2015,BROOKLYN APARTMENT,Brooklyn,Apartment,Shared room,11210,2,50,50,126,1,5
35987043,6/16/2015,Cheapest 3-Person Room / Basement,Brooklyn,House,Private room,11219,2,50,50,52,1,2
39143352,7/21/2015,Central Manhattan minimal studio,Manhattan,Apartment,Entire home/apt,10025,1,50,50,128,1,3
